"paper","id","title","url","citedByUuid","citedByUrl","found"
"02_实践伦理的工程学_思想体系总论.md","bbe903b2-99ab-5425-a566-e7dfd1ae6c2d","自信","https://www.zhihu.com/question/269905766/answer/510828072","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","bc0b8aa6-c51e-5c02-8b44-64f7c256154f","录取线","https://www.zhihu.com/question/599385566/answer/3036675225","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","be11fc4e-aa10-5562-b303-6cffcea4b6a9","当仁不让","https://www.ifdian.net/p/fdcb72726a7b11f1b12e52540025c377","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","ea9197ca-0a2e-51ee-beeb-ca4773d4a549","持公器","https://www.zhihu.com/question/452534650/answer/1814615350","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","ecfc1be7-86b5-57d6-806d-7a8fcc374949","摆脱贫穷","https://www.zhihu.com/question/444003245/answer/1744384489","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","f0e6b60b-5f91-5037-9796-480eeca991b2","芯片","https://www.zhihu.com/question/275316968/answer/497644862","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","f455e627-834a-5efb-afe9-c311b5694325","说话的兽","https://www.zhihu.com/question/530184935/answer/2558470982","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","f6347ba6-aad3-5f7f-8b08-353683f03410","潜藏无形","https://www.zhihu.com/question/422912586/answer/1496227069","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","f975f3fe-005b-53dd-8f44-2741aefcda9b","死亡","https://www.zhihu.com/question/19795293/answer/1323213160","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","fac46c04-7559-5f0c-9e9e-c7335080db35","不吭声","https://www.zhihu.com/question/2019790269206246894/answer/2033220372695397077","True","True","True"
"02_实践伦理的工程学_思想体系总论.md","fd8bd9b8-73be-50e8-ab0b-671b55e035a6","关心军事","https://www.zhihu.com/question/503875313/answer/2539039449","True","True","True"
"03_伦理作为社会技术_权力互惠与社会资本.md","03c701aa-9760-5272-9215-6de6a61ce6f9","尊者","https://www.ifdian.net/p/c367153e797411f1812d52540025c377","True","True","True"
"03_伦理作为社会技术_权力互惠与社会资本.md","11ad7ad3-87eb-5681-93e2-de3e21cbd8a2","批评","https://www.zhihu.com/question/22987136/answer/1434894604","True","True","True"
"03_伦理作为社会技术_权力互惠与社会资本.md","1a742531-d472-5206-909d-af49dc6adb45","道德","https://www.zhihu.com/question/30536604/answer/1867200559","True","True","True"
"03_伦理作为社会技术_权力互惠与社会资本.md","24394a0a-7e31-5d3b-bee2-fd434354ad9b","欢迎不客气","https://afdian.com/p/f53a46d88b8911ef9c9a52540025c377","True","True","True"
"03_伦理作为社会技术_权力互惠与社会资本.md","2550e553-ce60-56a3-8a87-53f6b868aec4","恶来儿","https://afdian.com/p/71b094d8329211f0b02952540025c377","True","True","True"
